Council,Acute Diarrhoea (<14 Days),Acute Ear Infection,Acute Flaccid Paralysis,Acute Glumerulonephritis,Animal Bite (Suspected Rabies),Animal Bites (No Suspected Rabies),Anthrax,Birth Asphyxia,Bronchial Asthma,Burn,Cardiac Failure,Cerebral Palsy,Cholera,Chronic Ear Infection,Congenital Disorders,Diabetes Mellitus,Diarrhea Chronic (>= 14 Days),Dysentery,Ectopic Pregnancy,Epilepsy,"Eye Diseases, Non-Infectious",Eye Infection,"Eye Infections, Other",Fractures,"Gastrointestinal Diseases, Other Non-Infectious",Gynaecological Diseases,Hepatitis,Hypertension,Infant of Diabetic Mother,Kwashiorkor,Leprosy,Low Birth Weight And Prematurity Complication,Lymphatic Filariasis,Malaria Severe BS +Ve,Malaria Severe Clinical,Malaria Severe mRDT +ve,Marasmic Kwashiorkor,Marasmus,Measles,Meningitis,Mild/Moderate Anaemia,Moderate Malnutrition,"Neonatal Septicaemia, Infections",Neonatal Tetanus,Neoplasms,Nephorotic Syndrome,Neurosis,Non-Infectious Ear Diseases,Non-Infectious Liver Diseases,"Nutritional Disorders, Other",Osteomyelitis,Other Cardiovascular Diseases,Other Diagnosis,Peptic Ulcers,Plague,"Pneumonia, Non-Severe","Pneumonia, Severe",Poisoning,Psychoses,Rabies / Suspected Rabied Bites,Relapsing Fever (Louse Borne Typhus),Renal Failure,Respiratory System disorders other,Rheumatic Fever,Rheumatoid And Joint Diseases,Road Traffic Accidents,STI Genital Discharge Syndrome (GDS),STI Genital Ulcer Diseases (GUD),STI Pelvic Inflammatory Diseases,Schistosomiasis,Severe Anaemia,"Sexually Transmitted Infection, Other",Sickle Cell Disease,"Skin Diseases, Non-Infectious",Skin Infections,Soil Transmitted Helminths,Substance Abuse,Symptomatic Hiv Infection,Thyroid Diseases,Tuberculosis,Typhoid,Upper Respiratory Infections,Urinary Tract Infections,Viral Haemorrhagic Fevers
Handeni DC,740,7,0,0,0,1,0,9,12,53,0,0,0,1,4,0,7,9,0,2,3,0,27,29,92,0,0,7,0,11,0,65,0,2658,465,0,27,26,0,0,280,21,45,1,0,4,0,2,5,3,1,0,274,0,0,726,404,7,0,8,0,0,0,17,2,19,0,0,0,0,395,0,4,31,23,20,0,9,0,2,13,103,289,0
Handeni TC,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,378,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,43,136,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,5,0
Kilindi DC,115,5,0,0,0,12,0,2,16,19,1,0,0,0,1,1,22,37,0,1,2,0,31,19,26,2,0,1,0,2,0,3,0,917,269,83,2,3,0,0,152,13,22,0,0,1,0,4,0,0,0,2,162,3,0,304,232,5,0,0,0,0,0,1,0,9,0,0,0,0,251,0,1,0,0,23,0,1,1,0,60,173,78,0
Korogwe DC,125,3,819,0,0,2,0,2,22,55,7,0,0,0,1,6,168,3,0,2,2,0,0,18,253,4,0,26,0,10,0,2,0,1578,231,0,10,1,0,0,110,3,21,0,0,20,0,1,7,2,0,9,471,14,0,473,205,49,50,1,0,1,0,0,2,27,0,0,0,26,329,7,9,5,2,7,0,32,19,21,153,34,150,0
Korogwe TC,176,1,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,65,0,0,2,0,1,0,10,0,0,0,0,0,0,0,0,874,89,0,1,1,0,0,106,0,33,0,5,5,0,1,0,2,0,0,185,5,0,227,359,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2,0,3,10,0,3,0,0,0,21,292,11
Lushoto DC,187,19,0,3,0,2,0,3,21,34,29,0,0,16,0,3,20,0,0,1,1,0,16,24,24,6,0,20,0,15,0,0,0,323,81,0,9,10,0,0,42,16,14,0,0,5,0,3,18,7,0,38,259,15,0,402,437,3,0,2,0,0,0,19,0,26,0,0,0,4,15,0,1,5,6,2,0,15,0,0,0,87,71,2
Mkinga DC,74,5,0,0,0,2,0,0,17,17,0,0,0,0,0,0,60,34,0,0,0,0,7,0,4,7,0,6,0,14,0,3,0,1382,25,0,1,2,0,0,45,0,57,0,0,0,0,0,0,0,4,0,73,1,0,464,69,7,0,6,0,0,0,0,0,0,0,0,0,0,5,0,2,0,14,0,0,2,0,0,0,1,33,0
Muheza DC,439,66,0,0,0,0,0,0,13,163,6,0,0,8,2,35,0,0,0,1,0,0,0,106,4,111,0,0,0,119,0,104,0,1116,42,0,82,109,0,0,237,164,127,0,0,0,0,14,0,0,2,0,753,0,0,837,1180,107,0,3,0,0,0,60,0,7,0,0,0,0,809,7,37,5,175,0,0,0,2,7,0,1874,803,1
Pangani DC,186,2,0,0,0,0,0,1,25,29,0,0,0,0,3,1,2,51,0,0,0,0,0,3,15,33,0,0,0,3,0,4,0,487,153,0,1,2,0,0,42,7,25,0,0,0,0,0,0,2,0,0,102,0,0,109,219,10,0,1,0,0,0,32,1,3,0,0,0,0,41,0,0,3,8,0,0,2,0,0,0,28,136,0
Tanga CC,301,1,2,0,0,0,0,226,12,54,12,0,0,1,37,0,1,4,0,2,0,0,1,85,8,100,0,0,0,5,0,708,0,590,2,0,12,11,0,0,17,68,758,0,0,1,0,0,1,2,2,3,213,0,0,161,299,5,0,0,0,3,0,4,0,26,0,0,0,0,152,0,12,0,2,0,0,86,0,1,14,15,59,0
