Council,Acute Diarrhoea (<14 Days),Acute Ear Infection,Acute Flaccid Paralysis,Acute Glumerulonephritis,Animal Bite (Suspected Rabies),Animal Bites (No Suspected Rabies),Anthrax,Birth Asphyxia,Bronchial Asthma,Burn,Cardiac Failure,Cerebral Palsy,Cholera,Chronic Ear Infection,Congenital Disorders,Diabetes Mellitus,Diarrhea Chronic (>= 14 Days),Dysentery,Ectopic Pregnancy,Epilepsy,"Eye Diseases, Non-Infectious",Eye Infection,"Eye Infections, Other",Fractures,"Gastrointestinal Diseases, Other Non-Infectious",Gynaecological Diseases,Hepatitis,Hypertension,Infant of Diabetic Mother,Kwashiorkor,Leprosy,Low Birth Weight And Prematurity Complication,Lymphatic Filariasis,Malaria Severe BS +Ve,Malaria Severe Clinical,Malaria Severe mRDT +ve,Marasmic Kwashiorkor,Marasmus,Measles,Meningitis,Mild/Moderate Anaemia,Moderate Malnutrition,"Neonatal Septicaemia, Infections",Neonatal Tetanus,Neoplasms,Nephorotic Syndrome,Neurosis,Non-Infectious Ear Diseases,Non-Infectious Liver Diseases,"Nutritional Disorders, Other",Osteomyelitis,Other Cardiovascular Diseases,Other Diagnosis,Peptic Ulcers,Plague,"Pneumonia, Non-Severe","Pneumonia, Severe",Poisoning,Psychoses,Rabies / Suspected Rabied Bites,Relapsing Fever (Louse Borne Typhus),Renal Failure,Respiratory System disorders other,Rheumatic Fever,Rheumatoid And Joint Diseases,Road Traffic Accidents,STI Genital Discharge Syndrome (GDS),STI Genital Ulcer Diseases (GUD),STI Pelvic Inflammatory Diseases,Schistosomiasis,Severe Anaemia,"Sexually Transmitted Infection, Other",Sickle Cell Disease,"Skin Diseases, Non-Infectious",Skin Infections,Soil Transmitted Helminths,Substance Abuse,Symptomatic Hiv Infection,Thyroid Diseases,Tuberculosis,Typhoid,Upper Respiratory Infections,Urinary Tract Infections,Viral Haemorrhagic Fevers
Karagwe DC,530,20,0,0,0,26,0,8,18,12,9,0,0,0,0,3,44,10,0,1,80,0,82,9,33,2,0,5,0,7,0,98,5,1659,539,0,2,7,0,0,579,42,70,0,0,5,0,12,0,10,0,0,681,2,0,960,495,26,5,1,0,0,0,10,3,49,0,0,0,1,116,0,12,27,227,71,0,11,0,4,3,334,728,0
Kyerwa DC,489,6,0,2,0,3,0,30,15,14,0,0,0,0,0,0,7,11,0,5,0,0,1,2,21,1,0,0,0,5,0,34,0,2042,62,0,1,4,0,0,69,4,76,0,1,0,0,1,1,1,0,0,178,4,0,627,354,35,2,2,0,0,0,37,0,12,0,0,0,0,102,1,1,6,12,31,0,19,0,0,4,178,147,7
Missenyi DC,314,2,0,0,0,2,0,24,22,34,0,0,0,0,5,2,9,4,0,1,17,0,8,3,110,0,0,4,0,4,0,73,0,3335,78,13,5,5,0,0,229,16,19,0,2,7,0,2,3,6,2,6,196,18,0,279,278,14,0,0,0,0,0,20,0,15,0,0,0,0,367,10,28,2,4,76,0,4,0,5,32,145,257,0
Muleba DC,1021,10,0,0,0,1,0,25,22,28,8,0,0,0,7,0,55,21,0,12,13,0,7,15,103,1,0,5,0,93,0,136,0,2373,25,0,27,58,0,0,381,24,70,0,1,23,0,1,0,1,17,2,584,6,0,674,419,14,1,0,0,0,0,2,6,39,0,0,0,1,224,1,9,3,13,36,0,10,0,2,39,362,458,0
Ngara DC,1108,17,1,1,0,6,0,7,42,34,1,0,0,25,1,0,423,258,0,26,16,0,39,13,651,0,0,0,0,31,0,2,0,4415,159,0,42,9,0,0,246,112,23,5,0,1,0,22,3,44,0,1,1008,6,0,1328,788,14,0,8,13,0,0,2,0,29,0,0,0,0,319,4,27,17,64,10,0,8,0,16,2,1052,1045,0
Mlele DC,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,126,16,0,0,0,0,0,30,0,0,0,0,0,0,40,0,0,0,0,11,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,5,0,0,0,0,0,0,4,30,11,0
Mpanda DC,48,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,255,22,0,2,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,7,0,0,61,14,2,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,11,3,0
Mpanda TC,396,0,0,0,0,0,0,11,19,57,1,0,0,0,1,3,6,17,0,0,0,0,0,23,9,0,0,0,0,34,0,11,0,1994,516,66,23,47,0,0,1207,54,0,0,0,4,0,0,0,0,7,0,183,0,0,371,342,15,1,4,0,0,0,0,0,7,0,0,0,1,1572,0,13,0,1,0,0,1,0,0,34,4,246,0
Mpimbwe DC,45,2,0,0,0,0,0,0,0,5,0,0,0,8,0,0,5,0,0,0,1,0,0,5,0,1,0,0,0,5,0,0,0,95,23,0,0,0,0,0,24,0,2,0,0,0,0,2,0,0,0,0,25,0,0,22,12,0,0,0,0,0,0,0,0,3,0,0,0,8,44,0,1,0,4,0,0,0,0,0,2,0,5,0
Nsimbo DC,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,6,0,4,0,9,0,0,0,0,0,0,0,0,450,10,0,0,0,0,0,40,3,1,0,0,0,0,1,0,0,0,0,22,0,0,67,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,2,1,0,1,0,0,0,2,20,0
Buhigwe DC,160,6,0,0,0,4,0,5,3,9,1,0,0,0,0,0,10,2,0,0,4,0,1,5,11,0,0,0,0,3,0,0,0,1272,12,0,0,1,0,0,229,15,2,1,0,0,0,1,0,1,1,0,160,0,0,180,95,8,2,0,0,0,0,0,0,3,0,0,0,3,221,0,25,9,6,154,0,0,4,0,1,110,262,0
Kakonko DC,77,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,7,0,0,0,0,0,4,15,0,0,0,0,3,0,0,0,357,146,22,1,2,0,0,39,1,0,0,0,0,0,0,1,0,1,0,107,4,0,107,45,1,0,3,0,0,0,21,0,10,0,0,0,0,36,0,2,5,0,0,0,0,0,0,7,83,60,0
Kasulu DC,204,2,0,0,0,5,0,20,4,13,0,0,0,0,0,0,3,9,0,3,0,0,1,8,10,0,0,0,0,15,0,27,0,1122,427,0,0,20,0,0,10,9,18,0,0,0,0,1,0,2,1,0,179,0,0,185,83,2,0,0,0,0,0,0,2,3,0,0,0,1,115,0,24,10,9,12,0,0,0,1,1,88,241,0
Kasulu TC,514,1,0,0,0,10,0,55,16,30,0,0,0,1,6,6,78,15,0,2,4,0,22,37,2,26,0,2,0,15,0,145,1,1461,515,0,19,38,0,0,241,10,94,1,0,0,0,2,18,7,2,3,348,6,0,290,372,12,7,0,0,0,0,8,0,24,0,0,0,2,565,0,49,1,1,24,0,4,7,6,2,108,324,0
Kibondo DC,704,4,0,0,0,1,0,9,5,7,3,0,0,0,1,0,29,2,0,1,1,0,0,14,87,3,0,0,0,8,0,46,0,1164,285,0,5,2,0,0,112,4,5,0,0,24,0,0,18,0,1,13,289,0,0,143,73,7,0,0,4,1,0,4,0,19,0,0,0,35,172,0,13,0,1,0,0,6,0,0,0,14,111,0
Kigoma DC,787,53,0,0,0,9,0,8,36,16,11,0,0,33,3,5,19,3,0,6,7,0,14,28,45,0,0,0,0,30,0,41,10,1014,51,28,19,22,0,0,230,37,11,0,0,15,0,3,31,0,4,12,370,0,2,304,204,1,1,1,0,0,0,9,5,38,0,0,0,11,88,2,71,1,48,102,0,8,6,18,0,119,276,0
Kigoma MC,249,0,0,0,0,2,0,39,37,27,3,0,0,1,4,7,58,6,0,0,1,0,3,18,47,0,0,1,0,9,0,5,0,2879,732,0,19,10,0,0,241,22,443,1,0,0,0,0,27,4,3,29,249,1,0,637,240,34,1,0,0,1,0,10,0,12,0,0,0,5,251,0,41,2,12,1,0,14,0,23,19,46,106,0
Uvinza DC,113,0,1,0,0,0,0,5,6,11,0,0,0,0,0,1,20,4,0,0,2,0,2,1,31,22,0,1,0,6,0,6,0,364,486,0,6,7,0,0,52,1,50,0,0,0,0,1,10,0,0,19,81,2,0,104,28,14,1,1,1,0,0,0,5,44,0,0,0,36,196,0,13,0,0,3,0,15,4,0,23,55,120,0
Hai DC,184,8,0,2,0,0,2,0,70,101,1,0,0,0,0,38,1,0,0,3,0,0,55,95,16,21,0,1,0,9,0,0,0,81,8,0,37,8,0,0,61,23,284,0,0,0,0,0,0,1,8,0,105,0,0,487,460,11,0,0,0,5,0,0,0,22,0,0,0,2,10,0,1,8,7,0,0,38,0,7,0,78,139,0
Moshi DC,192,18,73,2,0,1,0,9,29,41,0,0,0,1,3,0,19,4,0,8,19,0,2,24,185,6,0,0,0,3,0,5,0,75,1,0,5,5,0,0,16,13,44,0,1,2,0,18,5,10,2,0,351,18,0,680,220,34,0,1,0,1,0,21,0,33,0,0,0,0,4,0,0,38,47,20,0,29,0,8,4,283,192,0
Moshi MC,916,229,1,14,0,6,0,7,76,160,6,0,0,80,2,34,32,198,0,155,123,0,222,52,170,0,0,2,0,60,0,85,0,322,89,0,113,6,0,0,612,185,339,0,2,11,0,168,1,119,12,28,2061,15,0,1507,691,82,44,1,0,0,0,6,109,49,0,0,0,0,164,0,43,64,143,71,0,19,1,27,2,857,930,0
Mwanga DC,86,15,0,0,0,1,0,2,7,25,0,0,0,0,0,3,9,2,0,3,3,0,3,5,29,0,0,2,0,1,0,4,0,63,13,0,2,1,0,0,17,7,50,1,0,2,0,0,2,2,0,24,110,7,0,376,112,15,0,0,0,1,0,21,1,1,0,0,0,0,5,0,0,1,8,7,0,18,1,3,0,75,86,0
Rombo DC,126,7,0,0,0,2,1,2,17,77,0,0,0,0,8,0,8,6,0,14,1,0,0,65,79,0,0,7,0,2,0,11,0,18,10,0,1,5,0,0,23,9,105,0,1,0,0,2,2,0,4,3,432,0,0,1879,1033,44,0,3,0,0,0,8,1,13,0,0,0,1,4,0,0,11,32,3,0,1,0,11,2,97,566,0
Same DC,311,5,0,0,0,6,0,1,30,26,1,0,0,1,0,1,8,1,0,2,3,0,3,12,10,0,0,0,0,0,0,0,0,99,3,0,1,0,0,0,33,11,53,0,0,4,0,0,1,0,0,2,130,8,0,734,236,19,1,1,0,0,0,3,0,29,0,0,0,1,21,0,1,2,5,2,0,1,0,0,0,328,171,1
Siha DC,117,6,0,0,0,1,2,19,19,21,0,0,0,4,0,3,0,10,0,6,0,0,11,9,16,8,0,4,0,3,0,27,0,16,8,0,3,2,0,0,15,3,43,0,1,2,0,6,1,1,0,6,194,7,0,567,264,19,2,1,0,2,0,5,0,5,0,0,0,0,2,8,0,2,23,0,0,1,7,2,0,231,46,0
Kilwa DC,292,3,0,1,0,18,0,22,18,29,5,0,0,0,1,2,26,78,0,6,1,0,14,42,40,0,0,28,0,2,0,6,0,1105,312,0,3,28,0,0,154,54,6,1,0,3,0,4,0,2,3,0,158,3,0,187,206,18,0,5,0,0,0,0,0,68,0,0,0,1,356,0,3,0,10,19,0,40,0,0,73,30,154,1
Lindi DC,181,0,26,1,0,0,0,73,16,26,0,0,0,1,0,0,41,6,0,2,0,0,2,44,8,1,0,3,0,2,0,34,0,1312,386,1,4,79,0,0,85,8,89,0,0,0,0,0,1,6,2,1,205,0,0,284,146,14,0,2,0,0,0,3,0,3,0,0,0,1,112,0,0,3,4,0,0,1,0,1,14,72,36,0
Lindi MC,50,0,0,0,0,6,0,171,12,12,0,0,0,0,5,0,22,0,0,0,0,0,1,18,1,0,0,0,0,8,0,209,0,224,252,0,4,4,0,0,68,2,260,0,0,3,0,1,0,0,0,0,73,0,0,70,45,12,0,0,0,2,0,0,0,9,0,0,0,0,87,0,1,0,9,0,0,2,0,1,0,1,31,0
Liwale DC,34,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,6,2,8,0,0,0,0,0,0,0,0,309,11,0,1,0,0,0,36,2,0,0,0,5,0,0,0,0,0,0,53,0,0,47,22,3,0,1,0,0,0,0,0,0,0,0,0,2,81,1,2,0,3,0,0,1,1,0,0,2,28,11
Nachingwea DC,81,0,0,0,0,0,0,0,5,8,0,0,0,0,1,5,11,7,0,1,0,0,1,6,31,1,0,0,0,4,0,0,0,1284,212,0,1,13,0,0,57,9,0,0,0,0,0,0,0,0,0,0,44,0,0,242,129,2,1,0,0,0,0,0,0,6,0,0,0,0,98,0,0,0,0,0,0,0,0,3,0,0,10,0
Ruangwa DC,62,0,0,0,0,0,0,40,3,22,0,0,0,0,0,0,11,2,0,0,0,0,0,0,20,0,0,0,0,0,0,38,0,704,308,0,0,2,0,0,57,6,18,0,0,0,0,0,2,2,0,0,27,0,0,168,49,2,0,0,0,1,0,0,0,0,0,0,0,2,56,0,0,0,1,0,0,2,0,0,0,2,6,0
Babati DC,728,5,0,0,0,5,0,4,11,32,0,0,0,3,0,3,6,16,0,7,4,0,2,6,163,1,0,5,0,4,0,9,0,331,351,0,27,13,0,0,5,5,46,0,0,4,0,0,5,0,0,4,323,2,0,1004,1051,36,1,2,0,0,0,4,0,9,0,0,0,4,16,0,0,5,43,8,0,4,0,4,33,121,40,6
Babati TC,70,1,0,0,0,1,0,0,22,26,0,0,0,1,0,0,2,2,0,2,0,0,7,3,211,0,0,0,0,1,0,0,0,143,219,0,6,5,0,0,11,4,1,0,0,1,0,0,1,1,0,1,76,1,0,312,276,26,0,0,0,0,0,0,1,7,0,0,0,0,34,0,0,1,6,3,0,0,1,3,1,34,72,0
Hanang DC,507,3,0,2,0,7,0,3,15,26,0,0,0,0,0,0,10,45,0,2,1,0,1,2,8,2,0,0,0,10,0,0,0,34,79,0,11,4,0,0,10,4,31,0,0,0,0,3,1,0,1,0,267,4,0,632,780,21,1,8,0,0,0,1,0,6,0,0,0,0,8,0,0,3,11,0,0,1,0,2,0,35,82,8
Kiteto DC,64,1,0,0,0,5,0,1,0,12,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,9,0,1,0,315,124,0,7,1,0,0,55,7,3,0,0,4,0,0,2,0,0,0,2,0,0,341,179,8,0,3,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,1,0,0,0,3,56,1,77,0
Mbulu DC,450,32,0,18,0,2,0,88,64,41,22,0,0,7,82,7,101,9,0,24,27,0,23,49,187,42,0,7,0,79,0,97,0,149,232,0,61,54,0,0,61,39,73,0,0,26,0,1,7,23,26,23,2080,8,0,1090,662,28,0,2,0,0,0,70,27,8,0,0,0,0,74,56,36,40,56,0,0,6,0,65,21,153,132,0
Mbulu TC,57,0,0,1,0,0,0,0,7,11,8,0,0,0,1,2,1,19,0,3,0,0,0,5,73,0,0,0,0,17,0,0,0,114,222,8,21,4,0,0,8,6,14,0,0,6,0,0,0,9,0,1,192,0,0,325,319,10,0,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,12,0,6,6,10,35,0
Simanjiro DC,207,5,0,0,0,4,0,6,7,23,0,0,0,10,1,0,29,7,0,2,2,0,7,1,24,2,0,3,0,0,0,6,0,35,93,0,1,1,0,0,27,6,37,0,0,1,0,0,0,0,2,0,300,0,0,493,330,20,0,3,2,0,0,0,0,10,0,0,0,3,26,1,1,0,5,3,0,17,0,12,9,61,15,0
Bunda DC,283,2,0,0,0,0,0,12,5,9,4,0,0,0,11,1,37,19,0,0,6,0,0,5,41,5,0,4,0,23,0,138,0,1114,377,0,19,16,0,0,347,28,16,0,0,2,0,1,0,21,0,1,117,2,0,191,54,4,2,4,0,0,0,5,0,32,0,0,0,25,384,4,13,3,15,31,0,13,0,1,47,66,200,0
Bunda TC,783,0,1,0,0,7,0,0,5,27,3,0,0,0,1,4,9,11,0,0,0,0,0,7,74,0,0,8,0,4,0,0,0,2880,1255,0,17,35,0,0,810,6,0,0,0,0,0,1,0,3,2,0,649,12,0,557,558,16,2,2,0,0,0,0,0,23,0,0,0,19,844,0,24,0,2,16,0,38,2,8,0,113,345,0
Butiama DC,67,0,0,0,0,2,0,0,22,11,0,0,0,0,1,3,13,1,0,0,0,0,0,1,0,6,0,0,0,8,0,0,0,871,448,0,4,5,0,0,91,1,1,0,0,1,0,0,34,0,0,11,4,1,0,92,52,4,0,1,0,0,0,0,0,1,0,0,0,0,368,0,37,0,0,0,0,5,1,0,3,19,96,0
Musoma DC,52,0,0,0,0,2,0,2,21,1,0,0,0,0,0,1,5,18,0,0,1,0,0,0,5,0,0,1,0,1,0,6,0,235,55,12,0,11,0,0,5,3,3,0,0,0,0,1,7,0,0,2,12,10,0,4,29,0,0,0,0,1,0,1,2,1,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,8,5,0
Musoma MC,170,5,0,2,0,0,0,17,2,38,0,0,0,4,5,0,26,19,0,1,3,0,1,5,37,0,0,0,0,4,0,14,0,1956,291,36,5,2,0,0,174,17,39,0,0,3,0,3,8,1,0,21,137,10,0,169,25,12,0,3,0,0,0,11,8,18,0,0,0,2,49,0,28,15,0,16,0,11,6,20,6,22,205,0
Rorya DC,428,15,0,0,0,1,0,4,26,20,5,0,0,3,16,0,51,54,0,0,0,0,1,5,22,34,0,1,0,12,0,6,24,2014,517,0,2,34,0,0,356,74,8,0,0,7,0,0,35,38,1,5,993,4,0,307,145,11,0,7,0,0,0,3,3,29,0,0,0,30,266,0,41,4,15,66,0,20,24,19,64,101,523,0
Serengeti DC,101,5,1,2,0,1,0,0,8,20,1,0,0,0,0,5,81,2,0,0,1,0,3,3,47,0,0,0,0,20,0,4,0,1448,554,0,10,20,0,0,301,7,13,0,0,0,0,0,4,1,0,11,117,0,0,207,146,18,7,0,0,0,0,0,0,7,0,0,0,84,509,1,26,0,0,2,0,3,1,0,3,33,691,0
Tarime DC,613,14,0,0,0,2,0,2,101,45,1,0,0,1,1,0,89,10,0,2,2,0,1,2,34,0,0,0,0,27,0,11,0,1916,694,0,6,19,0,0,371,58,15,0,1,0,0,2,2,16,7,0,88,0,0,337,289,8,0,0,20,0,0,3,0,39,0,0,0,0,125,0,13,0,6,25,0,0,0,1,16,131,635,0
Tarime TC,259,1,0,0,0,1,0,115,7,23,1,0,0,0,0,5,2,7,0,6,1,0,54,0,8,0,0,1,0,16,0,172,0,3291,36,0,18,14,0,0,154,10,16,0,0,1,0,0,0,0,1,0,113,5,0,117,205,12,0,7,0,1,0,1,0,10,0,0,0,1,416,19,19,2,0,0,0,1,0,1,191,18,271,2
Busokelo DC,50,0,0,1,0,0,0,0,3,12,0,0,0,0,0,0,3,5,0,2,0,0,0,5,23,0,0,1,0,0,0,3,0,389,35,0,3,0,0,0,29,17,42,0,0,1,0,0,1,0,1,4,73,2,0,150,32,5,5,2,1,0,0,0,0,4,0,0,0,7,23,0,0,3,3,0,0,21,0,2,0,28,60,1
Chunya DC,93,0,0,0,0,3,0,22,7,18,0,0,0,0,0,3,18,3,0,0,1,0,6,25,35,4,0,0,0,9,0,6,0,253,2,0,1,2,0,0,13,8,10,0,0,0,0,3,2,2,2,0,34,0,0,163,22,17,2,5,0,0,0,0,1,14,0,0,0,0,5,0,1,5,9,5,0,0,0,7,27,14,24,0
Kyela DC,404,6,0,0,0,0,0,28,18,57,0,0,0,3,2,0,1,8,0,11,2,0,4,19,132,0,0,0,0,4,0,85,0,1509,84,0,7,14,0,0,152,14,103,1,0,1,0,4,0,3,0,0,134,4,0,193,273,7,2,0,0,0,0,11,0,22,0,0,0,0,214,0,5,1,13,39,0,39,0,0,48,146,112,0
Mbarali DC,808,7,1,0,0,10,0,11,8,96,2,0,0,9,8,4,4,81,0,12,12,0,23,44,118,11,0,0,0,101,0,16,0,216,212,0,44,71,0,0,72,58,145,0,0,5,0,0,3,14,0,1,303,9,0,1419,194,32,0,12,0,3,0,2,2,53,0,0,0,0,47,0,8,13,65,20,0,67,9,7,12,105,77,0
Mbeya CC,160,1,0,1,0,0,0,1,5,8,4,0,0,0,0,13,1,57,0,0,0,0,0,25,80,17,0,4,0,0,0,1,0,210,149,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,57,0,0,210,63,2,0,0,0,0,0,4,0,3,0,0,0,0,1,1,2,0,3,0,0,0,0,0,7,85,73,0
Mbeya DC,460,4,0,0,0,10,0,61,13,73,2,0,0,0,1,1,24,24,0,17,2,0,3,35,152,0,0,2,0,7,0,176,0,267,30,0,18,6,0,0,41,32,41,0,0,0,0,1,1,1,2,2,295,2,0,940,520,14,2,2,0,0,0,0,1,18,0,0,0,0,46,0,0,2,11,0,0,9,0,11,32,120,119,0
Rungwe DC,337,6,0,2,0,1,0,70,31,38,1,0,0,1,5,5,35,36,0,22,0,0,2,29,128,0,0,3,0,14,0,43,0,1371,169,0,19,45,0,0,54,46,58,0,0,2,0,0,0,8,0,0,359,4,0,788,492,16,2,1,0,1,0,23,0,23,0,0,0,3,29,2,1,9,31,2,0,7,0,14,68,290,324,0
Gairo DC,85,0,0,0,0,4,0,7,2,10,1,0,0,1,2,0,6,0,0,0,1,0,1,0,4,5,0,0,0,2,0,2,0,53,123,0,11,1,0,0,19,13,24,5,0,0,0,0,1,0,1,3,16,0,0,78,54,8,1,0,0,0,0,0,0,2,0,0,0,0,20,0,1,0,0,0,0,5,2,1,1,13,30,0
Ifakara TC,117,0,0,25,0,0,0,123,11,30,0,0,0,0,13,0,14,9,0,0,0,0,0,28,44,0,0,1,0,14,0,50,0,700,227,0,4,4,0,0,24,2,113,0,0,7,0,0,9,2,0,0,43,15,0,100,156,8,1,9,0,6,0,0,0,5,0,0,0,1,129,0,51,0,0,1,0,50,15,0,19,4,37,0
Kilombero DC,98,0,0,0,0,8,0,6,7,28,0,0,0,0,0,6,15,16,0,1,0,0,0,1,40,0,0,0,0,0,0,30,0,545,298,0,1,3,0,0,31,0,32,0,0,12,0,1,0,0,0,8,178,2,0,194,77,6,0,7,0,0,0,0,0,11,0,0,0,9,12,0,3,0,1,1,0,16,0,1,5,31,65,0
Kilosa DC,938,3,0,2,0,7,0,47,142,82,2,0,0,1,4,10,149,78,0,0,6,0,9,50,167,18,0,8,0,7,0,24,0,3626,778,65,16,9,0,0,205,17,152,0,0,10,0,0,127,16,0,31,765,9,0,749,581,32,10,2,2,0,0,58,0,99,0,0,0,12,468,3,40,1,17,19,0,35,4,13,83,217,599,7
Malinyi DC,97,0,0,0,0,3,0,0,39,13,0,0,0,0,3,2,17,10,0,1,0,0,0,9,81,0,0,0,0,19,0,0,0,1035,360,0,11,13,0,0,356,12,2,0,0,5,0,0,4,3,0,0,140,5,0,452,379,8,0,0,0,1,0,0,0,1,0,0,0,0,309,0,24,0,1,0,0,19,3,4,24,3,216,0
Morogoro DC,100,0,1,0,0,2,0,5,57,10,1,0,0,0,0,1,7,4,0,3,0,0,0,1,6,0,0,1,0,7,0,3,0,740,278,0,5,1,0,0,89,0,47,0,0,1,0,0,1,0,1,3,56,2,0,154,62,3,1,0,1,0,0,5,0,8,0,0,0,7,92,0,2,0,4,2,0,6,0,1,9,14,41,0
Morogoro MC,1174,0,2,8,0,5,0,312,186,95,9,0,0,2,47,14,3,26,0,54,7,0,1,145,74,41,0,30,0,266,0,649,0,4241,183,0,86,46,0,0,619,188,1483,0,7,27,0,1,12,10,6,20,592,9,0,753,942,87,1,3,0,1,0,28,2,6,0,0,0,0,759,3,96,56,141,20,0,132,14,69,487,97,951,0
Mvomero DC,408,34,0,12,0,7,0,10,108,63,2,0,0,4,9,0,10,55,0,1,10,0,7,29,63,1,0,3,0,25,0,13,0,2915,1083,0,17,23,0,0,358,21,117,0,9,12,0,13,4,4,3,29,296,5,0,958,712,22,1,0,2,0,0,24,10,35,0,0,0,13,280,0,25,12,48,65,0,12,5,5,52,182,369,0
Ulanga DC,1400,215,0,0,0,7,0,0,135,16,4,0,0,68,16,0,468,191,0,0,24,0,45,22,169,2,0,23,0,10,0,0,0,3030,4055,51,16,20,0,0,2245,200,0,0,0,0,0,0,35,0,2,199,164,113,0,2847,1516,3,8,4,0,0,0,82,24,101,0,0,0,344,522,51,11,29,263,473,0,2,2,0,263,1577,1579,0
Masasi DC,51,2,0,0,0,0,0,105,7,3,0,0,0,0,12,0,0,2,0,2,0,0,0,0,50,0,0,2,0,7,0,56,0,431,76,0,1,1,0,0,62,1,281,0,1,0,0,0,0,2,0,0,96,1,0,138,97,0,2,0,0,0,0,5,0,0,0,0,0,0,101,0,0,2,6,0,0,4,0,6,0,1,12,0
Masasi TC,188,3,0,0,0,0,0,262,20,11,0,0,0,0,6,3,0,6,0,0,0,0,62,12,2,15,0,0,0,1,0,169,0,1107,53,0,2,1,0,0,102,12,217,0,0,0,0,0,3,0,6,0,378,0,0,108,133,11,5,0,0,0,0,0,0,5,0,0,0,0,380,0,0,5,87,0,0,19,1,8,1,67,81,0
Mtwara DC,25,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,19,2,0,0,0,0,3,0,11,0,0,0,0,0,0,0,1,375,54,1,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,6,7,0,0,20,28,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,2,0
Mtwara MC,59,0,0,0,0,0,0,68,2,35,5,0,0,0,0,1,13,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,801,65,0,9,3,0,0,74,3,32,0,0,0,0,44,0,0,0,0,194,0,0,47,95,9,0,0,0,0,0,0,0,7,0,0,0,1,224,0,0,0,1,0,0,0,0,6,0,15,20,0
Nanyamba TC,54,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,205,0,31,1,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,26,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,34,0
Nanyumbu DC,51,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,19,1,0,0,1,0,1,0,7,0,0,0,0,1,0,2,0,460,86,0,0,0,0,0,35,1,2,0,0,0,0,0,5,2,0,2,32,0,0,58,38,8,1,1,0,0,0,0,0,1,0,0,0,0,91,0,0,1,0,0,0,1,0,0,1,0,11,0
Newala DC,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,2,0,0,1,0,44,0,0,0,0,0,0,0,0,199,83,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,147,1,1,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,6,0,0,0,1,0,0,0,11,24,0
Newala TC,153,2,0,0,0,1,0,0,2,13,0,0,0,0,5,0,10,0,0,0,0,0,0,17,14,0,0,0,0,4,0,0,0,788,454,0,4,0,0,0,88,1,0,0,0,1,0,0,1,0,0,6,62,0,0,174,74,4,0,1,0,0,0,0,0,9,0,0,0,0,73,0,0,0,0,0,0,2,0,0,0,15,75,0
Tandahimba DC,274,1,1,0,0,3,0,155,3,2,0,0,0,0,1,2,186,39,0,1,0,0,0,11,63,0,0,0,0,0,0,67,0,1713,1271,0,1,0,0,0,118,5,86,0,0,0,0,0,1,4,5,0,135,0,0,151,205,11,11,3,0,0,0,5,0,0,0,0,0,23,335,1,0,0,9,0,0,1,0,4,5,86,61,0
Buchosa DC,104,2,0,0,0,0,0,0,6,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,3,0,1,0,3,0,9,0,583,440,0,3,1,0,0,22,0,0,0,0,0,0,0,3,4,0,2,59,0,3,96,111,8,0,0,3,0,0,1,0,20,0,0,0,2,8,0,1,0,1,1,0,10,0,0,24,24,59,1
